# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.03                	5.659837211090e-05
0.06                	5.659837211090e-05
0.09                	5.659837211090e-05
0.12                	5.659837211090e-05
0.15                	5.659837211090e-05
0.18                	5.659837211090e-05
0.21                	5.659837211090e-05
0.24                	5.659837211090e-05
0.27                	5.659837211090e-05
0.3                 	5.659837211090e-05
