# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.0075              	1.153867943452e-03
0.015               	1.153867943452e-03
0.0225              	1.153867943452e-03
0.03                	1.153867943452e-03
0.0375              	1.153867943452e-03
0.045               	1.153867943452e-03
0.0525              	1.153867943452e-03
0.06                	1.153867943452e-03
0.0675              	1.153867943452e-03
0.075               	1.153867943452e-03
0.0825              	1.153867943452e-03
0.09                	1.153867943452e-03
0.0975              	1.153867943452e-03
0.105               	1.153867943452e-03
0.1125              	1.153867943452e-03
0.12                	1.153867943452e-03
0.1275              	1.153867943452e-03
0.135               	1.153867943452e-03
0.1425              	1.153867943452e-03
0.15                	1.153867943452e-03
0.1575              	1.153867943452e-03
0.165               	1.153867943452e-03
0.1725              	1.153867943452e-03
0.18                	1.153867943452e-03
0.1875              	1.153867943452e-03
0.195               	1.153867943452e-03
0.2025              	1.153867943452e-03
0.21                	1.153867943452e-03
0.2175              	1.153867943452e-03
0.225               	1.153867943452e-03
0.2325              	1.153867943452e-03
0.24                	1.153867943452e-03
0.2475              	1.153867943452e-03
0.255               	1.153867943452e-03
0.2625              	1.153867943452e-03
0.27                	1.153867943452e-03
0.2775              	1.153867943452e-03
0.285               	1.153867943452e-03
0.2925              	1.153867943452e-03
0.3                 	1.153867943452e-03
