# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_velocity_mag)
0.0075              	1.280583514530e-05
0.015               	1.280583514530e-05
0.0225              	1.280583514530e-05
0.03                	1.280583514530e-05
0.0375              	1.280583514530e-05
0.045               	1.280583514530e-05
0.0525              	1.280583514530e-05
0.06                	1.280583514530e-05
0.0675              	1.280583514530e-05
0.075               	1.280583514530e-05
0.0825              	1.280583514530e-05
0.09                	1.280583514530e-05
0.0975              	1.280583514530e-05
0.105               	1.280583514530e-05
0.1125              	1.280583514530e-05
0.12                	1.280583514530e-05
0.1275              	1.280583514530e-05
0.135               	1.280583514530e-05
0.1425              	1.280583514530e-05
0.15                	1.280583514530e-05
0.1575              	1.280583514530e-05
0.165               	1.280583514530e-05
0.1725              	1.280583514530e-05
0.18                	1.280583514530e-05
0.1875              	1.280583514530e-05
0.195               	1.280583514530e-05
0.2025              	1.280583514530e-05
0.21                	1.280583514530e-05
0.2175              	1.280583514530e-05
0.225               	1.280583514530e-05
0.2325              	1.280583514530e-05
0.24                	1.280583514530e-05
0.2475              	1.280583514530e-05
0.255               	1.280583514530e-05
0.2625              	1.280583514530e-05
0.27                	1.280583514530e-05
0.2775              	1.280583514530e-05
0.285               	1.280583514530e-05
0.2925              	1.280583514530e-05
0.3                 	1.280583514530e-05
