# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.03                	4.617811925290e-03
0.06                	4.617811925290e-03
0.09                	4.617811925290e-03
0.12                	4.617811925290e-03
0.15                	4.617811925290e-03
0.18                	4.617811925290e-03
0.21                	4.617811925290e-03
0.24                	4.617811925290e-03
0.27                	4.617811925290e-03
0.3                 	4.617811925290e-03
