# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	sum(error_velocity_mag_squ)
0.0075              	1.022418138351e-02
0.015               	1.022418138351e-02
0.0225              	1.022418138351e-02
0.03                	1.022418138351e-02
0.0375              	1.022418138351e-02
0.045               	1.022418138351e-02
0.0525              	1.022418138351e-02
0.06                	1.022418138351e-02
0.0675              	1.022418138351e-02
0.075               	1.022418138351e-02
0.0825              	1.022418138351e-02
0.09                	1.022418138351e-02
0.0975              	1.022418138351e-02
0.105               	1.022418138351e-02
0.1125              	1.022418138351e-02
0.12                	1.022418138351e-02
0.1275              	1.022418138351e-02
0.135               	1.022418138351e-02
0.1425              	1.022418138351e-02
0.15                	1.022418138351e-02
0.1575              	1.022418138351e-02
0.165               	1.022418138351e-02
0.1725              	1.022418138351e-02
0.18                	1.022418138351e-02
0.1875              	1.022418138351e-02
0.195               	1.022418138351e-02
0.2025              	1.022418138351e-02
0.21                	1.022418138351e-02
0.2175              	1.022418138351e-02
0.225               	1.022418138351e-02
0.2325              	1.022418138351e-02
0.24                	1.022418138351e-02
0.2475              	1.022418138351e-02
0.255               	1.022418138351e-02
0.2625              	1.022418138351e-02
0.27                	1.022418138351e-02
0.2775              	1.022418138351e-02
0.285               	1.022418138351e-02
0.2925              	1.022418138351e-02
0.3                 	1.022418138351e-02
